nfeatures,contrastThreshold,edgeThreshold,trees,checks,ratio,ransacReprojThreshold,inliers,RMSE,NCC,MI,error_angular,error_tx,error_ty,error_escala
500,0.02,5,4,50,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
500,0.02,5,4,50,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
500,0.02,5,4,50,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
500,0.02,5,4,50,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
500,0.02,5,4,100,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
500,0.02,5,4,100,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
500,0.02,5,4,100,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
500,0.02,5,4,100,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
500,0.02,5,6,50,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
500,0.02,5,6,50,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
500,0.02,5,6,50,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
500,0.02,5,6,50,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
500,0.02,5,6,100,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
500,0.02,5,6,100,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
500,0.02,5,6,100,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
500,0.02,5,6,100,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
500,0.02,10,4,50,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
500,0.02,10,4,50,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
500,0.02,10,4,50,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
500,0.02,10,4,50,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
500,0.02,10,4,100,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
500,0.02,10,4,100,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
500,0.02,10,4,100,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
500,0.02,10,4,100,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
500,0.02,10,6,50,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
500,0.02,10,6,50,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
500,0.02,10,6,50,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
500,0.02,10,6,50,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
500,0.02,10,6,100,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
500,0.02,10,6,100,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
500,0.02,10,6,100,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
500,0.02,10,6,100,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
500,0.04,5,4,50,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
500,0.04,5,4,50,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
500,0.04,5,4,50,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
500,0.04,5,4,50,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
500,0.04,5,4,100,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
500,0.04,5,4,100,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
500,0.04,5,4,100,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
500,0.04,5,4,100,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
500,0.04,5,6,50,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
500,0.04,5,6,50,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
500,0.04,5,6,50,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
500,0.04,5,6,50,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
500,0.04,5,6,100,0.6,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.0026120070756405767,0.0024154633427233563,0.0006598001409008347
500,0.04,5,6,100,0.6,2.0,53,8.24425,0.986276,1.1880777130817126,0.0033054053558601026,0.043875413877252356,0.006718492061574821,0.017132090885441098
500,0.04,5,6,100,0.7,1.0,51,8.889062,0.9841179,1.1785812023802023,0.0001062110514737924,0.002612007075637024,0.0024154633427233563,0.0006598001409008347
500,0.04,5,6,100,0.7,2.0,55,7.711207,0.9879453,1.1971750557824394,0.006334127801210343,0.08513158018848088,0.014824598520348786,0.03292155378898931
500,0.04,10,4,50,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,4,50,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
500,0.04,10,4,50,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,4,50,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
500,0.04,10,4,100,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,4,100,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
500,0.04,10,4,100,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,4,100,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
500,0.04,10,6,50,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,6,50,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
500,0.04,10,6,50,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,6,50,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
500,0.04,10,6,100,0.6,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,6,100,0.6,2.0,150,8.601941,0.98510206,1.1824578573788491,0.001982521115593272,0.007263749518244822,0.002814039863761053,0.005060495204978199
500,0.04,10,6,100,0.7,1.0,147,8.889062,0.9841179,1.1785812023802023,0.0002727181230852693,0.005013258351709737,0.003169480041448125,0.001113169602640074
500,0.04,10,6,100,0.7,2.0,152,8.375907,0.98584884,1.1860015959126062,0.003738406078156231,0.022831728128771545,0.005118562014761352,0.01185248014928808
1000,0.02,5,4,50,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
1000,0.02,5,4,50,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
1000,0.02,5,4,50,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
1000,0.02,5,4,50,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
1000,0.02,5,4,100,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
1000,0.02,5,4,100,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
1000,0.02,5,4,100,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
1000,0.02,5,4,100,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
1000,0.02,5,6,50,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
1000,0.02,5,6,50,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
1000,0.02,5,6,50,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
1000,0.02,5,6,50,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
1000,0.02,5,6,100,0.6,1.0,180,8.889062,0.9841179,1.1785812023802023,7.6233212666920736e-06,0.00045038469193059427,0.0003635034083409039,4.252633820645002e-05
1000,0.02,5,6,100,0.6,2.0,182,8.60129,0.98510003,1.1824603891513534,0.0033707051068745386,0.007231660546498375,0.009610836885594054,0.006952529671844232
1000,0.02,5,6,100,0.7,1.0,184,8.889062,0.9841179,1.1785812023802023,0.0005093625492236242,0.0027677489834267988,0.0020926798463651863,0.0001916196403550785
1000,0.02,5,6,100,0.7,2.0,187,8.439892,0.98564017,1.18497890780755,0.0054030798729058915,0.00845304785729084,0.015404569942933932,0.0100111886470855
1000,0.02,10,4,50,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
1000,0.02,10,4,50,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
1000,0.02,10,4,50,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
1000,0.02,10,4,50,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
1000,0.02,10,4,100,0.6,1.0,298,8.889062,0.9841179,1.1785812023802023,0.0005775597417141398,0.0022164789037795174,0.0060643914088860384,0.0008728846090710896
1000,0.02,10,4,100,0.6,2.0,301,8.738284,0.9846364,1.180870220840836,0.0027382016359922545,0.0038394589694021874,0.009047743287414534,0.0046730194952271376
1000,0.02,10,4,100,0.7,1.0,305,8.889062,0.9841179,1.1785812023802023,0.0009641704203886547,0.002872455926521411,0.009344588871332604,0.0012751704132174524
1000,0.02,10,4,100,0.7,2.0,309,8.627598,0.98501027,1.1821734225775784,0.003964965109815921,0.006982848620662452,0.015034796541584683,0.006982303197178297
